RandomSeed	CP1	CP2	CP3	CP4
4082056113	1160	2520	3970	4820
2219285411	1810	2780	3500	4070
314141515	1120	2310	3930	4660
924713390	1410	1980	2730	4170
3401103502	1850	3520	3950	4330
3899523377	1370	2880	4140	4880
1131189261	490	810	1170	1500
793634665	460	900	2190	3300
4270690140	520	1170	1660	2140
3757716468	980	1580	2010	3810
3789912611	1930	2310	2610	3750
999938796	2180	2970	3510	4060
2015751562	1750	2920	4390	4910
3701844453	1270	2010	2630	4160
2804943129	550	1150	2460	4220
1316979850	1530	2130	2590	4090
2581363565	600	1100	2070	3590
284597940	3390	3810	4000	4220
1050472014	690	1170	2560	3860
3779000523	640	1280	2940	3840
4009754830	1040	2910	3250	3640
2683833668	1850	3560	3980	4410
4118541579	1130	1480	1920	3950
248325888	1310	1750	2190	3910
656483978	1420	2770	3420	3920
1183438788	1380	1790	1980	2160
1669376957	510	880	1480	1880
2832229792	1440	2060	2520	3140
1194991662	1140	1660	2090	4030
1917387321	1630	2840	3290	3690
2188717342	1450	1980	2510	4110
626219905	1450	1980	2540	4030
2743467782	1200	1810	2430	3910
3813644355	970	1540	1910	3270
2832467231	520	1140	2100	3920
1722388874	1050	2310	4170	4800
2044752438	450	1030	2580	3620
3487987995	1410	2050	2700	3570
3870930578	660	1070	1460	1920
214350298	980	1130	1280	1690
431802487	1580	3120	3580	4070
3011384469	1420	2850	3220	3580
55237123	1610	2830	3430	4040
2797703552	1100	1810	2280	3690
1531223333	1870	2990	3450	4110
1406985870	1070	1540	2130	3660
849250049	1520	2910	3300	3770
2297028809	500	900	1950	3480
1660049108	1220	1710	2200	3780
1920611637	690	1070	1740	2210
928167111	1360	2460	4560	4960
2986838381	1470	2590	4450	4890
1066183376	1830	3070	3620	4060
3735979029	1870	2390	2760	3790
4168350226	640	1210	1870	2240
1003232210	1310	2010	2560	3540
3264473916	470	1140	2450	4010
517551843	1290	2880	3570	4540
3179163677	1450	2690	3070	3420
4035067075	2000	2760	3200	4000
3115825727	1360	1870	2450	3700
451729997	3550	4050	4480	4880
223166015	900	1320	1710	4070
2154562403	700	1280	2870	4080
3507086058	1520	3610	3900	4180
915439050	1760	3530	4610	5020
2673943255	610	930	1250	1680
2343443832	1330	1900	2320	4000
2842793596	1760	2380	3000	4210
2544952694	1030	2210	3960	4770
3325982164	490	910	1330	1700
3390494088	730	1260	1730	2330
856806591	1800	3630	4060	4560
2371322714	560	1470	3750	4530
4110462571	3240	4490	4740	4980
2629013021	1550	2810	3300	3880
1255622093	1240	1860	2430	3470
4051655409	400	1000	2450	3790
3462089791	1490	2650	3320	3770
2200151146	3510	4120	4390	4900
1012373426	1680	3330	3890	4440
3706613117	1760	2990	4520	4940
1643818261	1460	1860	2440	3930
849201940	1440	3280	4440	4940
1720782719	1170	2730	4420	4910
861707861	830	1250	1660	3980
